ADS;Alliance Data Systems Corporation Common Stock;United States;Miscellaneous;Business Services
ADT;ADT Inc. Common Stock;United States;Consumer Services;Diversified Commercial Services
ADX;Adams Diversified Equity Fund Inc.;United States;;
AEB;AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands);Netherlands;Finance;Life Insurance
AEE;Ameren Corporation Common Stock;United States;Public Utilities;Power Generation
AEFC;Aegon Funding Company LLC 5.10% Subordinated Notes due 2049;;Finance;Life Insurance
AEG;AEGON N.V. Common Stock;Netherlands;Finance;Life Insurance
AEL;American Equity Investment Life Holding Company Common Stock;United States;Finance;Life Insurance
AEL^A;American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A;United States;;
AEL^B;American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B;United States;;
AEM;Agnico Eagle Mines Limited Common Stock;Canada;Basic Industries;Precious Metals
AENZ;Aenza S.A.A. American Depositary Shares;;Basic Industries;Military/Government/Technical
AEO;American Eagle Outfitters Inc. Common Stock;United States;Consumer Services;Clothing/Shoe/Accessory Stores
AER;AerCap Holdings N.V. Ordinary Shares;Netherlands;Technology;Diversified Commercial Services
AES;The AES Corporation Common Stock;United States;Basic Industries;Electric Utilities: Central
AFB;AllianceBernstein National Municipal Income Fund Inc;United States;;
AFC;Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047;United States;;
AFG;American Financial Group Inc. Common Stock;United States;Finance;Property-Casualty Insurers
AFGB;American Financial Group Inc. 5.875% Subordinated Debentures due 2059;United States;Finance;Property-Casualty Insurers
AFGC;American Financial Group Inc. 5.125% Subordinated Debentures due 2059;United States;Finance;Property-Casualty Insurers
AFGD;American Financial Group Inc. 5.625% Subordinated Debentures due 2060;United States;Finance;Property-Casualty Insurers
AFGE;American Financial Group Inc. 4.500% Subordinated Debentures due 2060;United States;Finance;Property-Casualty Insurers
AFI;Armstrong Flooring Inc. Common Stock;;Consumer Non-Durables;Plastic Products
AFL;AFLAC Incorporated Common Stock;United States;Finance;Accident &Health Insurance
AFT;Apollo Senior Floating Rate Fund Inc. Common Stock;;;
AG;First Majestic Silver Corp. Ordinary Shares (Canada);Canada;Basic Industries;Precious Metals
AGCB;Altimeter Growth Corp. 2 Class A Ordinary Shares;;Finance;Business Services
AGCO;AGCO Corporation Common Stock;United States;Capital Goods;Industrial Machinery/Components
AGD;Aberdeen Global Dynamic Dividend Fund;United States;;
AGI;Alamos Gold Inc. Class A Common Shares;Canada;Basic Industries;Precious Metals
AGM;Federal Agricultural Mortgage Corporation Common Stock;United States;Finance;Finance Companies
AGM^C;Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg;United States;;
AGM^D;Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D;United States;;
AGM^E;Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E;United States;;
AGM^F;Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F;United States;;
AGO;Assured Guaranty Ltd. Common Stock;Bermuda;Finance;Property-Casualty Insurers
AGO^B;Assured Guaranty Ltd.;Bermuda;;
AGO^E;Assured Guaranty Ltd.;Bermuda;;
AGO^F;Assured Guaranty Ltd.;Bermuda;;
AGR;Avangrid Inc. Common Stock;United States;Public Utilities;Electric Utilities: Central
AGRO;Adecoagro S.A. Common Shares;Luxembourg;Consumer Non-Durables;Farming/Seeds/Milling
AGS;PlayAGS Inc. Common Stock;United States;Consumer Durables;Miscellaneous manufacturing industries
AGX;Argan Inc. Common Stock;United States;Basic Industries;Engineering & Construction
AHC;A.H. Belo Corporation (TX) Common Stock;United States;Consumer Services;Newspapers/Magazines
AHH;Armada Hoffler Properties Inc. Common Stock;United States;Finance;Real Estate
AHH^A;Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock;United States;;
AHL^C;Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares;Bermuda;;
AHL^D;Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares;Bermuda;;
AHL^E;Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares;Bermuda;;
AHT;Ashford Hospitality Trust Inc Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AHT^D;Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock;United States;;
AHT^F;Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock;United States;;
AHT^G;Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock;United States;;
AHT^H;Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock;United States;;
AHT^I;Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock;United States;;
AI;C3.ai Inc. Class A Common Stock;;Technology;Computer Software: Prepackaged Software
AIC;Arlington Asset Investment Corp 6.750% Notes due 2025;United States;Consumer Services;Real Estate Investment Trusts
AIF;Apollo Tactical Income Fund Inc. Common Stock;;;
AIG;American International Group Inc. New Common Stock;United States;Finance;Property-Casualty Insurers
AIG^A;American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock;United States;;
AIN;Albany International Corporation Common Stock;United States;Basic Industries;Textiles
AIO;Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares;;;
AIR;AAR Corp. Common Stock;United States;Capital Goods;Aerospace
AIRC;Apartment Income REIT Corp. Common Stock;;Consumer Services;Real Estate Investment Trusts
AIT;Applied Industrial Technologies Inc. Common Stock;United States;Consumer Durables;Industrial Specialties
AIV;Apartment Investment and Management Company Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AIW;Arlington Asset Investment Corp 6.625% Notes due 2023;United States;Consumer Services;Real Estate Investment Trusts
AIZ;Assurant Inc. Common Stock;United States;Finance;Property-Casualty Insurers
AIZN;Assurant Inc. 5.25% Subordinated Notes due 2061;United States;Finance;Property-Casualty Insurers
AIZP;Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value;United States;Finance;Property-Casualty Insurers
AJAX;Ajax I Class A Ordinary Shares;United States;Finance;Business Services
AJG;Arthur J. Gallagher & Co. Common Stock;United States;Finance;Specialty Insurers
AJRD;Aerojet Rocketdyne Holdings Inc. Common Stock;United States;Capital Goods;Military/Government/Technical
AJX;Great Ajax Corp. Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AJXA;Great Ajax Corp. 7.25% Convertible Senior Notes due 2024;United States;Consumer Services;Real Estate Investment Trusts
AKO/A;Embotelladora Andina S.A.;Chile;;
AKO/B;Embotelladora Andina S.A.;Chile;;
AKR;Acadia Realty Trust Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AL;Air Lease Corporation Class A Common Stock;United States;Technology;Diversified Commercial Services
AL^A;Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A;United States;;
ALB;Albemarle Corporation Common Stock;United States;Basic Industries;Major Chemicals
ALC;Alcon Inc. Ordinary Shares;Switzerland;Health Care;Ophthalmic Goods
ALE;Allete Inc.;United States;Public Utilities;Power Generation
ALEX;Alexander & Baldwin Inc. Common Stock REIT Holding Company;United States;Consumer Services;Real Estate Investment Trusts
ALG;Alamo Group Inc. Common Stock;United States;Capital Goods;Industrial Machinery/Components
ALIN^A;Altera Infrastructure L.P. 7.25% Series A ;Bermuda;;
ALIN^B;Altera Infrastructure L.P. 8.50% Series B ;Bermuda;;
ALIN^E;Altera Infrastructure L.P. 8.875% Series E ;Bermuda;;
ALK;Alaska Air Group Inc. Common Stock;United States;Transportation;Air Freight/Delivery Services
ALL;Allstate Corporation (The) Common Stock;United States;Finance;Property-Casualty Insurers
ALL^B;Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053;United States;;
ALL^G;Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G;United States;;
ALL^H;Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H;United States;;
ALL^I;Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I;United States;;
ALLE;Allegion plc Ordinary Shares;United States;Consumer Services;Diversified Commercial Services
ALLY;Ally Financial Inc. Common Stock;United States;Finance;Major Banks
ALLY^A;GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2;United States;;
ALP^Q;Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share);United States;;
ALSN;Allison Transmission Holdings Inc. Common Stock;United States;Capital Goods;Auto Parts:O.E.M.
ALTG;Alta Equipment Group Inc. Class A Common Stock;;Capital Goods;Industrial Machinery/Components
ALTG^A;Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock);;;
ALUS;Alussa Energy Acquisition Corp. Class A Ordinary Shares;;Finance;Business Services
ALV;Autoliv Inc. Common Stock;Sweden;Capital Goods;Auto Parts:O.E.M.
ALX;Alexander's Inc. Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AM;Antero Midstream Corporation Common Stock;United States;Public Utilities;Natural Gas Distribution
AMBC;Ambac Financial Group Inc. Common Stock;United States;Finance;Property-Casualty Insurers
AMC;AMC Entertainment Holdings Inc. Class A Common Stock;;Consumer Services;Movies/Entertainment
AMCR;Amcor plc Ordinary Shares;;Consumer Durables;Miscellaneous manufacturing industries
AME;AMETEK Inc.;United States;Capital Goods;Industrial Machinery/Components
AMG;Affiliated Managers Group Inc. Common Stock;United States;Finance;Investment Managers
AMH;American Homes 4 Rent Common Shares of Beneficial Interest;;Consumer Services;Real Estate Investment Trusts
AMH^D;American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest;;;
AMH^E;American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest;;;
AMH^F;American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares;;;
AMH^G;American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest;;;
AMH^H;American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest;;;
AMK;AssetMark Financial Holdings Inc. Common Stock;United States;Finance;Investment Managers
AMN;AMN Healthcare Services Inc AMN Healthcare Services Inc;United States;Technology;Professional Services
AMOV;America Movil S.A.B. de C.V. Class A American Depositary Shares;Mexico;Public Utilities;Telecommunications Equipment
AMP;Ameriprise Financial Inc. Common Stock;United States;Finance;Investment Managers
AMPY;Amplify Energy Corp. Common Stock;United States;Energy;Oil & Gas Production
AMR;Alpha Metallurgical Resources Inc. Common Stock;United States;;
AMRC;Ameresco Inc. Class A Common Stock;United States;Basic Industries;Engineering & Construction
AMRX;Amneal Pharmaceuticals Inc. Class A Common Stock;;Health Care;Major Pharmaceuticals
AMT;American Tower Corporation (REIT) Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AMWL;American Well Corporation Class A Common Stock;United States;Miscellaneous;Business Services
AMX;America Movil S.A.B. de C.V. American Depository Receipt Series L;Mexico;Public Utilities;Telecommunications Equipment
AN;AutoNation Inc. Common Stock;United States;Consumer Durables;Automotive Aftermarket
ANET;Arista Networks Inc. Common Stock;;Technology;Computer Communications Equipment
ANF;Abercrombie & Fitch Company Common Stock;United States;Consumer Services;Clothing/Shoe/Accessory Stores
ANH;Anworth Mortgage Asset Corporation Common Stock;United States;Consumer Services;Real Estate Investment Trusts
ANH^A;Anworth Mortgage Asset Corporation Series A Preferred Stock;United States;;
ANH^B;Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%;United States;;
ANH^C;Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative Redeemable  Preferred Stock;United States;;
ANTM;Anthem Inc. Common Stock;United States;Health Care;Medical Specialities
AOD;Aberdeen Total Dynamic Dividend Fund Common Stock;United States;;
AON;Aon plc Class A Ordinary Shares (Ireland);United States;Finance;Specialty Insurers
AONE;one Class A Ordinary Shares;United States;Finance;Business Services
AOS;A.O. Smith Corporation Common Stock;United States;Consumer Durables;Consumer Electronics/Appliances
AP;Ampco-Pittsburgh Corporation Common Stock;United States;Capital Goods;Fluid Controls
APAM;Artisan Partners Asset Management Inc. Class A Common Stock;United States;Finance;Investment Managers
APD;Air Products and Chemicals Inc. Common Stock;United States;Basic Industries;Major Chemicals
APG;APi Group Corporation Common Stock;;Basic Industries;Engineering & Construction
APH;Amphenol Corporation Common Stock;United States;Capital Goods;Electrical Products
APLE;Apple Hospitality REIT Inc. Common Shares;United States;Consumer Services;Real Estate Investment Trusts
APO;Apollo Global Management Inc. Class A Common Stock;United States;Finance;Investment Managers
APO^A;Apollo Global Management Inc. 6.375% Series A Preferred Shares;United States;;
APO^B;Apollo Global Management Inc 6.375% Series B Preferred Shares;United States;;
APRN;Blue Apron Holdings Inc. Class A Common Stock;United States;Consumer Services;Catalog/Specialty Distribution
APSG;Apollo Strategic Growth Capital Class A Ordinary Shares;United States;Finance;Business Services
APTS;Preferred Apartment Communities Inc. Common Stock;United States;Consumer Services;Real Estate Investment Trusts
APTV;Aptiv PLC Ordinary Shares;United Kingdom;Capital Goods;Auto Parts:O.E.M.
APTV^A;Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares;United Kingdom;;
AQN;Algonquin Power & Utilities Corp. Common Shares;;Public Utilities;Electric Utilities: Central
AQNA;Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078;;Public Utilities;Electric Utilities: Central
AQNB;Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079;;Public Utilities;Electric Utilities: Central
AQUA;Evoqua Water Technologies Corp. Common Stock;United States;Technology;Industrial Machinery/Components
AR;Antero Resources Corporation Common Stock;;Energy;Oil & Gas Production
ARC;ARC Document Solutions Inc. Common Stock;United States;Consumer Services;Professional Services
ARCH;Arch Resources Inc. Class A Common Stock;United States;Energy;Coal Mining
ARCO;Arcos Dorados Holdings Inc. Class A Shares;Argentina;Consumer Services;Restaurants
ARD;Ardagh Group S.A. Common Shares;;Consumer Durables;Containers/Packaging
ARDC;Ares Dynamic Credit Allocation Fund Inc. Common Shares;United States;;
ARE;Alexandria Real Estate Equities Inc. Common Stock;United States;Consumer Services;Real Estate Investment Trusts
ARES;Ares Management Corporation Class A Common Stock;;Finance;Investment Managers
ARES^A;Ares Management Corporation 7.00% Series A Preferred Stock;;;
ARGD;Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042;Bermuda;Finance;Specialty Insurers
ARGO;Argo Group International Holdings Ltd.;Bermuda;Finance;Specialty Insurers
ARGO^A;Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A;Bermuda;;
ARI;Apollo Commercial Real Estate Finance Inc;United States;Consumer Services;Real Estate Investment Trusts
ARL;American Realty Investors Inc. Common Stock;United States;Finance;Real Estate
ARLO;Arlo Technologies Inc. Common Stock;United States;Consumer Non-Durables;Consumer Electronics/Appliances
ARMK;Aramark Common Stock;;Consumer Services;Restaurants
ARNC;Arconic Corporation Common Stock ;;;
AROC;Archrock Inc. Common Stock;United States;Public Utilities;Natural Gas Distribution
ARR;ARMOUR Residential REIT Inc.;United States;Consumer Services;Real Estate Investment Trusts
ARR^C;ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share);United States;;
ARW;Arrow Electronics Inc. Common Stock;United States;Technology;Electronic Components
ASA;ASA  Gold and Precious Metals Limited;United States;;
ASAN;Asana Inc. Class A Common Stock;;Technology;Computer Software: Prepackaged Software
ASAQ;Atlantic Street Acquisition Corp Class A Common Stock;United States;Finance;Business Services
ASB;Associated Banc-Corp Common Stock;United States;Finance;Major Banks
ASB^C;Associated Banc-Corp Depositary shares each representing a 1/40th ownership interest in a share of 6.125% Non-Cumulative Perpetual Preferred Stock Series C;United States;;
ASB^D;Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.375% Non-Cumulative Perpetual Preferred Stock Series D;United States;;
ASB^E;Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E;United States;;
ASB^F;Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F;United States;;
ASC;Ardmore Shipping Corporation Common Stock;;Transportation;Marine Transportation
ASG;Liberty All-Star Growth Fund Inc.;United States;;
ASGI;Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest;;;
ASGN;ASGN Incorporated Common Stock;United States;Technology;Professional Services
ASH;Ashland Global Holdings Inc. Common Stock;United States;Consumer Durables;Specialty Chemicals
ASIX;AdvanSix Inc. Common Stock ;United States;Basic Industries;Major Chemicals
ASPL;Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares;Singapore;Finance;Business Services
ASPN;Aspen Aerogels Inc. Common Stock;United States;Consumer Services;RETAIL: Building Materials
ASR;Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock;Mexico;Transportation;Aerospace
ASX;ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ;;Technology;Semiconductors
AT;Atlantic Power Corporation Ordinary Shares (Canada);United States;Energy;Electric Utilities: Central
ATA;Americas Technology Acquisition Corp. Ordinary Shares;;Finance;Business Services
ATAC;Altimar Acquisition Corporation Class A Ordinary Shares;United States;Finance;Investment Managers
ATC;Atotech Limited Common Shares;;;
ATCO;Atlas Corp. Common Shares;Hong Kong;Transportation;Marine Transportation
ATCO^D;Atlas Corp. 7.95% Series D;Hong Kong;;
ATCO^E;Atlas Corp. 8.25% Series E;Hong Kong;;
ATCO^G;Atlas Corp. 8.20% Series G;Hong Kong;;
ATCO^H;Atlas Corp. 7.875% Series H;Hong Kong;;
ATCO^I;Atlas Corp. Series I Fixed-to-Floating ;Hong Kong;;
ATEN;A10 Networks Inc. Common Stock;;Technology;Computer Communications Equipment
ATGE;Adtalem Global Education Inc. Common Stock;United States;Consumer Services;Other Consumer Services
ATH;Athene Holding Ltd. Class A Common Shares;Bermuda;Finance;Life Insurance
ATH^A;Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A;Bermuda;;
ATH^B;Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share;Bermuda;;
ATH^C;Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C;Bermuda;;
ATH^D;Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D;Bermuda;;
ATHM;Autohome Inc. American Depositary Shares each representing four class A ordinary shares.;;Technology;EDP Services
ATI;Allegheny Technologies Incorporated Common Stock;United States;Basic Industries;Steel/Iron Ore
ATKR;Atkore International Group Inc. Common Stock;United States;Miscellaneous;Industrial Machinery/Components
ATO;Atmos Energy Corporation Common Stock;United States;Public Utilities;Oil/Gas Transmission
ATR;AptarGroup Inc. Common Stock;United States;Consumer Non-Durables;Plastic Products
ATTO;Atento S.A. Ordinary Shares;;Public Utilities;Telecommunications Equipment
ATUS;Altice USA Inc. Class A Common Stock;United States;Consumer Services;Television Services
AU;AngloGold Ashanti Limited Common Stock;South Africa;Basic Industries;Precious Metals
AUY;Yamana Gold Inc. Ordinary Shares (Canada);Canada;Basic Industries;Precious Metals
AVA;Avista Corporation Common Stock;United States;Public Utilities;Power Generation
AVAL;Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares);;Finance;Commercial Banks
AVAN;Avanti Acquisition Corp. Class A Ordinary Shares;Cayman Islands;Finance;Business Services
AVB;AvalonBay Communities Inc. Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AVD;American Vanguard Corporation Common Stock ($0.10 Par Value);United States;Basic Industries;Agricultural Chemicals
AVK;Advent Convertible and Income Fund;United States;;
AVLR;Avalara Inc. Common Stock;United States;Technology;Computer Software: Prepackaged Software
AVNS;Avanos Medical Inc. Common Stock;United States;Health Care;Industrial Specialties
AVNT;Avient Corporation Common Stock;United States;Basic Industries;Major Chemicals
AVTR;Avantor Inc. Common Stock;;Capital Goods;Biotechnology: Laboratory Analytical Instruments
AVTR^A;Avantor Inc. Series A Mandatory Convertible Preferred Stock;;;
AVY;Avery Dennison Corporation Common Stock;United States;Consumer Durables;Containers/Packaging
AVYA;Avaya Holdings Corp. Common Stock;;Public Utilities;Telecommunications Equipment
AWF;Alliancebernstein Global High Income Fund;United States;;
AWI;Armstrong World Industries Inc Common Stock;United States;Consumer Non-Durables;Plastic Products
AWK;American Water Works Company Inc. Common Stock;United States;Public Utilities;Water Supply
AWP;Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest;United States;;
AWR;American States Water Company Common Stock;United States;Public Utilities;Water Supply
AX;Axos Financial Inc. Common Stock;United States;Finance;Savings Institutions
AXL;American Axle & Manufacturing Holdings Inc. Common Stock;United States;Capital Goods;Auto Parts:O.E.M.
AXO;Axos Financial Inc. 6.25% Subordinated Notes Due 2026;United States;Finance;Savings Institutions
AXP;American Express Company Common Stock;United States;Finance;Finance: Consumer Services
AXR;AMREP Corporation Common Stock;United States;Consumer Services;Newspapers/Magazines
AXS;Axis Capital Holdings Limited Common Stock;Bermuda;Finance;Property-Casualty Insurers
AXS^E;Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares;Bermuda;;
AXTA;Axalta Coating Systems Ltd. Common Shares;United States;Basic Industries;Paints/Coatings
AYI;Acuity Brands Inc. ;United States;Consumer Durables;Building Products
AYX;Alteryx Inc. Class A Common Stock;United States;Technology;Computer Software: Prepackaged Software
AZEK;The AZEK Company Inc. Class A Common Stock;United States;Consumer Non-Durables;Plastic Products
AZO;AutoZone Inc. Common Stock;United States;Consumer Services;Other Specialty Stores
AZRE;Azure Power Global Limited Equity Shares;India;Public Utilities;Electric Utilities: Central
AZUL;Azul S.A. American Depositary Shares (each representing three preferred shares);Brazil;Transportation;Air Freight/Delivery Services
AZZ;AZZ Inc.;United States;Consumer Durables;Building Products
B;Barnes Group Inc. Common Stock;United States;Capital Goods;Metal Fabrications
BA;Boeing Company (The) Common Stock;United States;Capital Goods;Aerospace
BABA;Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share;China;Miscellaneous;Business Services
BAC;Bank of America Corporation Common Stock;United States;Finance;Major Banks
BAC^A;Bank of America Corporation Depositary Shares each representing a 1/1000 th interest in a share of Bank of America Corporation 6.000% Non-Cumulative;United States;;
BAC^B;Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG;United States;;
BAC^E;Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E;United States;;
BAC^K;Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH;United States;;
BAC^L;Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L;United States;;
BAC^M;Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK;United States;;
BAC^N;Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL;United States;;
BAC^O;Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN;United States;;
BAC^P;Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP;United States;;
BAF;BlackRock Municipal Income Investment Quality Trust;United States;;
BAH;Booz Allen Hamilton Holding Corporation Common Stock;United States;Consumer Services;Professional Services
